"soundLevel","status"
"40.64081679484303","LobbyRMS"
"40.135820410687344","LobbyRMS"
"38.94000674426961","LobbyRMS"
"39.501327649461714","LobbyRMS"
"37.94727881506324","LobbyRMS"
"41.68440509019651","LobbyRMS"
"44.80593792054886","LobbyRMS"
"42.637507842459144","LobbyRMS"
"42.126795080940965","LobbyRMS"
"40.00695332116855","LobbyRMS"
"42.07232520560643","LobbyRMS"
"40.55512862736736","LobbyRMS"
"42.58949529093591","LobbyRMS"
"41.07634540433596","LobbyRMS"
"42.063026078193815","LobbyRMS"
"41.868905897973576","LobbyRMS"
"45.10561032059927","LobbyRMS"
"44.98034615906656","LobbyRMS"
"42.680189494950824","LobbyRMS"
"42.887973035647185","LobbyRMS"
"39.73886448033923","LobbyRMS"
"48.863696425391595","LobbyRMS"
