"soundLevel","timestamp","status"
"38.94222357626971","1418395762317","Lobby"
"41.86579928267301","1418395762357","Lobby"
"42.55772767646978","1418395762397","Lobby"
"43.252826178154834","1418395762437","Lobby"
"41.18955552785218","1418395762457","Lobby"
"36.226510774026806","1418395762497","Lobby"
"34.002161155657504","1418395762537","Lobby"
"34.40965012563788","1418395762577","Lobby"
"35.8646422775454","1418395762617","Lobby"
"36.63583150614173","1418395762637","Lobby"
"34.36530368971496","1418395762677","Lobby"
"34.65382270467612","1418395762717","Lobby"
"35.26666329185779","1418395762757","Lobby"
"36.72624164273957","1418395762777","Lobby"
"35.11789914974093","1418395762817","Lobby"
"30.359048005627947","1418395762877","Lobby"
"32.94528224438108","1418395762897","Lobby"
"30.095305658050755","1418395762937","Lobby"
"31.828123922103586","1418395762957","Lobby"
