AccX,AccY,AccZ
4.098873 , 6.5122285 , 5.707777
3.9456444 , 6.742072 , 5.056554
4.098873 , 6.6654577 , 4.7500963
4.2904096 , 7.1634517 , 5.363012
3.5242648 , 6.933608 , 4.903325
3.9839516 , 6.8186865 , 5.363012
5.707777 , 7.967903 , 6.895301
4.405331 , 7.8529816 , 6.0142345
3.4859576 , 6.895301 , 5.899313
3.6774938 , 6.933608 , 6.0525417
3.5242648 , 7.0102224 , 5.592855
1.8004397 , 6.0525417 , 3.4476504
3.3327289 , 5.9759274 , 5.094861
3.8307228 , 6.205771 , 4.9416323
4.596867 , 6.7803793 , 4.6351743
5.8226986 , 7.3549876 , 6.0525417
6.7803793 , 6.3206925 , 7.0485296
6.6654577 , 5.66947 , 6.895301
6.4739213 , 5.056554 , 7.0485296
5.056554 , 4.711789 , 5.2480903
5.209783 , 4.4436383 , 4.4436383
5.171476 , 3.6774938 , 3.6774938
4.903325 , 2.566584 , 3.4859576
7.469909 , 2.6048915 , 5.554548
8.274361 , 2.183512 , 6.742072
9.691729 , 2.3750482 , 7.3166804
9.11712 , 3.217807 , 7.086837
7.967903 , 3.371036 , 6.703765
8.42759 , 3.5242648 , 7.0485296
7.6614456 , 3.217807 , 7.3549876
5.899313 , 2.6048915 , 7.086837
5.171476 , 1.340753 , 7.393295
5.899313 , 1.3790601 , 7.6614456
6.244078 , 1.6089035 , 7.699753
5.3247046 , -0.22984336 , 8.925584
5.401319 , -1.685518 , 8.0445175
5.056554 , -1.8004397 , 7.240066
4.4436383 , -1.4173675 , 6.8569937
2.9113493 , 1.5705963 , 6.3589997
2.528277 , 1.3790601 , 7.393295
1.8004397 , 2.0685902 , 8.887277
2.9879637 , 2.4899697 , 7.8529816
2.336741 , 2.873042 , 6.2823853
-3.5242648 , 3.2561142 , 8.389283
-2.681506 , 0.34476504 , 12.603078
-3.3327289 , 0.6512229 , 13.828909
-0.5363012 , 3.8307228 , 8.42759
2.4516625 , 5.5162406 , 9.768343
3.715801 , 7.5465236 , 9.461885
1.2641385 , 7.3549876 , 8.389283
-1.2258313 , 8.542512 , 7.1634517
-1.2258313 , 6.895301 , 6.0525417
-1.9919758 , 4.1371803 , 6.7803793
-2.1452048 , -0.9576807 , 10.840945
-3.6008794 , -1.3024458 , 15.897499
-2.7964275 , -0.8810662 , 18.885464
-1.4556746 , -0.6895301 , 19.421764
-3.4476504 , -1.9536686 , 15.322891
-3.1794999 , -2.2601264 , 11.492168
-3.0262709 , -1.9153614 , 7.967903
-3.3327289 , -1.1875241 , 6.3589997
-3.217807 , -0.7278373 , 4.711789
-3.4859576 , 0.038307227 , 5.2863975
-2.873042 , 0.4213795 , 4.9799395
-3.4093432 , -0.91937345 , 5.66947
-3.1794999 , -1.8004397 , 7.3166804
-3.371036 , -2.183512 , 11.070788
-3.4093432 , -2.2601264 , 13.828909
-2.3750482 , -0.038307227 , 10.151415
-2.4516625 , 0.49799395 , 8.580819
-2.4133554 , 0.49799395 , 8.236053
-2.2218192 , 0.076614454 , 7.2783732
-3.217807 , 0.15322891 , 8.121132
-3.2561142 , 0.038307227 , 9.844957
-3.2944214 , 0.19153613 , 10.228029
-3.5625722 , -0.7278373 , 8.810662
-3.371036 , -1.7238252 , 7.0485296
-2.4133554 , -0.9576807 , 6.6654577
-2.336741 , -0.34476504 , 7.967903
-2.9496565 , 0.9959879 , 8.848969
-3.4476504 , 0.80445176 , 9.193734
-4.0222588 , 0.7278373 , 9.921572
-4.2521024 , 0.30645782 , 9.883265
-3.9073372 , 0.2681506 , 10.228029
-3.7541082 , 1.7238252 , 10.419566
-4.405331 , 3.0262709 , 10.649409
-4.4436383 , 3.4476504 , 10.649409
-3.6391866 , 0.7661445 , 11.33894
-2.9879637 , -1.2641385 , 11.645397
-3.0262709 , -3.4859576 , 11.722012
-2.6048915 , -4.0222588 , 11.224017
-5.2863975 , -5.056554 , 9.730036
-4.4436383 , -5.2480903 , 9.385271
-3.7541082 , -4.596867 , 9.11712
-1.532289 , -3.4093432 , 7.6231384
-4.0222588 , -3.1411927 , 8.312668
-4.4436383 , -2.6431987 , 11.87524
-2.873042 , -2.4899697 , 9.998186
-7.8146744 , -4.5202527 , 8.6574335
-1.5705963 , -4.7500963 , 8.963891
0.4213795 , -2.9496565 , 7.699753
0.22984336 , -1.8770541 , 6.397307
-3.6391866 , 0.38307226 , 9.921572
-2.6431987 , 0.34476504 , 9.385271
-1.8770541 , 1.1492168 , 9.040505
-1.6472107 , 1.7621324 , 9.078813
-2.566584 , 3.0262709 , 7.699753
-2.6431987 , 3.3327289 , 6.0525417
-4.865018 , -0.076614454 , 7.201759
-4.7884035 , -0.2681506 , 7.8912888
-3.6008794 , -0.19153613 , 8.236053
-3.1411927 , 1.340753 , 3.0262709
-4.060566 , 0.5363012 , 2.873042
-3.4859576 , 0.076614454 , 0.19153613
-3.1411927 , 0.038307227 , 4.2521024
0.19153613 , -3.2561142 , 1.5705963
1.9153614 , -4.1371803 , 4.060566
0.61291564 , -4.903325 , 5.439626
-5.631162 , -6.244078 , 10.0748005
-11.87524 , -6.5122285 , 17.238253
-8.963891 , -5.056554 , 12.641385
-8.350976 , -7.393295 , 11.645397
-9.423578 , -9.998186 , 12.220005
-10.419566 , -9.078813 , 13.867216
-9.998186 , -7.6231384 , 13.254301
-9.730036 , -5.861006 , 13.790602
-8.542512 , -3.4476504 , 12.29662
-8.121132 , -2.6431987 , 11.377247
-7.5848308 , -2.873042 , 11.032481
-7.8146744 , -2.1068976 , 10.381259
-6.129156 , -1.6472107 , 7.699753
-4.5202527 , -1.8387469 , 6.244078
-2.719813 , -1.1109096 , 6.742072
-2.4899697 , -1.8387469 , 5.899313
-2.6431987 , -4.2521024 , 5.056554
-4.3287168 , -4.865018 , 5.0182467
-5.4779334 , -5.056554 , 3.8307228
-5.66947 , -5.401319 , 3.3327289
-6.703765 , -6.090849 , 3.2944214
-7.8529816 , -6.2823853 , 2.7964275
-8.925584 , -6.2823853 , 3.3327289
-10.419566 , -6.8569937 , 3.9073372
