MagZ,MagY,MagX,AccY,AccX,AccZ,OrientZ,OrientX,OrientY,GyroZ,GyroX,GyroY,Light
NO-DATA,NO-DATA,NO-DATA,NO-DATA,NO-DATA,NO-DATA,NO-DATA,NO-DATA,NO-DATA,NO-DATA,NO-DATA,NO-DATA,NO-DATA
NO-DATA,NO-DATA,NO-DATA,NO-DATA,NO-DATA,NO-DATA,NO-DATA,NO-DATA,NO-DATA,NO-DATA,NO-DATA,NO-DATA,NO-DATA
-37.0559992,-20.388,-2.6879999,-0.0919373442,-0.038307227,9.8526186,-0.402139848,173.825916,0.649380328,0.00146819308235,-0.000669810808235,0.00616618801176,NO-DATA
-37.1159996,-20.0999994,-2.76,-0.134075295,-0.038307227,9.844957,-0.421331386,173.783342,0.651483172,-0.000112869861765,0.00055191958,0.00638178742824,NO-DATA
-36.8399992,-20.0279998,-2.79599998,-0.084275899,-0.038307227,9.844957,-0.43448548,173.734101667,0.652546378333,-0.000642068672727,0.000591119645455,0.00454265840273,NO-DATA
-36.9959992,-20.0159996,-2.97599992,-0.11492168,-0.038307227,9.844957,-0.434953512,173.675584,0.65552805,0.000612981755,-0.001108196404,0.002932195534,NO-DATA
-37.4039996,-19.7519996,-2.83199994,-0.114921681333,-0.038307227,9.844957,-0.43416886,173.612042,0.655724408,0.00397595561316,0.00144457731053,0.00331800518211,NO-DATA
-37.32,-20.08499925,-2.774999925,-0.114921681333,-0.038307227,9.85772633333,-0.44844355,173.568582,0.64005104,0.000696573881579,0.000415751448421,0.00511845016842,NO-DATA
-36.8159984,-20.376,-2.8559999,-0.1244984875,-0.04788403375,9.844957,-0.465173238,173.53711,0.636240362,-0.000839520008333,-0.00101317302,0.00564715191444,NO-DATA
-36.8039994,-19.8119998,-2.304,-0.114921681333,-0.038307227,9.844957,-0.48355298,173.511046,0.62877684,0.00159679626579,-0.00119178853368,0.00498984687158,NO-DATA
-36.9839992,-20.0639992,-2.50799996,-0.102152604667,-0.0510763026667,9.844957,-0.497209988333,173.493981667,0.618127443333,0.00379529875238,0.000829118951429,0.00316490609429,NO-DATA
-37.1849995,-20.33999975,-2.759999925,-0.127690756667,-0.038307227,9.844957,-0.496263434,173.453198,0.602188638,0.000513313207895,0.00139956028421,0.000890618358947,NO-DATA
-37.4279996,-19.9319996,-3.18,-0.0861912605,-0.02873042025,9.844957,-0.502242694,173.405732,0.592242702,-0.000374049726316,-0.00211131157368,0.00204804650421,NO-DATA
-37.836,-19.6439998,-2.92799996,-0.1225831268,-0.0536301178,9.844957,-0.51270133,173.344936,0.60061064,-0.00191728825263,-0.00262572437368,0.00275536403263,NO-DATA
-37.6199996,-19.7399996,-2.61599996,-0.11492168,-0.038307227,9.844957,-0.523558666,173.305656,0.607219702,-0.0001200583,-0.001902331365,0.003787404826,NO-DATA
-37.6079996,-19.908,-2.83199998,-0.076614454,-0.038307227,9.844957,-0.53802782,173.2693225,0.6057331725,-0.000824160936842,-0.000375168373684,0.00191944325474,NO-DATA
