AccX,AccY,AccZ
-2.4133554 , -2.834735 , 9.11712
-1.9536686 , -2.4899697 , 9.308656
-2.030283 , -2.4133554 , 9.346964
-2.2601264 , -2.528277 , 9.232041
-2.3750482 , -2.6431987 , 9.193734
-2.566584 , -2.566584 , 8.887277
-2.566584 , -2.4899697 , 9.002198
-2.6048915 , -2.4899697 , 9.078813
-2.528277 , -2.719813 , 9.232041
-2.681506 , -2.9496565 , 9.385271
-2.834735 , -3.217807 , 9.461885
-2.9113493 , -3.3327289 , 9.155427
-2.6431987 , -3.2561142 , 8.848969
-2.336741 , -2.9879637 , 8.772355
-2.030283 , -2.7964275 , 8.925584
-1.8770541 , -2.873042 , 9.346964
-2.030283 , -3.1028855 , 9.730036
-2.2601264 , -3.0262709 , 9.5385
-2.4133554 , -2.719813 , 9.002198
-2.3750482 , -2.4516625 , 8.734048
-2.2601264 , -2.6431987 , 8.848969
-2.4899697 , -2.7964275 , 9.11712
-2.7964275 , -2.834735 , 9.308656
-3.0262709 , -2.3750482 , 9.078813
-3.1411927 , -2.1068976 , 8.810662
-3.1794999 , -1.9536686 , 8.734048
-3.2561142 , -1.8770541 , 8.963891
-3.1028855 , -1.8770541 , 9.11712
-3.064578 , -1.8387469 , 9.232041
-3.0262709 , -1.9153614 , 9.423578
-2.9496565 , -2.030283 , 9.232041
-3.1028855 , -2.030283 , 9.11712
-3.1411927 , -2.030283 , 9.11712
-3.217807 , -2.3750482 , 8.772355
-2.834735 , -2.336741 , 8.887277
-2.9496565 , -2.4133554 , 9.232041
-2.719813 , -2.834735 , 9.385271
-2.0685902 , -2.9496565 , 9.155427
-0.61291564 , -2.2601264 , 9.461885
-0.6895301 , -1.5705963 , 9.883265
-1.2258313 , -1.4556746 , 10.419566
-1.6089035 , -2.2984335 , 10.840945
-1.7238252 , -3.5625722 , 10.764331
-1.4939818 , -3.4476504 , 10.342952
-1.340753 , -3.4093432 , 9.768343
-1.4556746 , -3.5625722 , 9.423578
-1.8004397 , -3.371036 , 9.155427
-1.6089035 , -3.5242648 , 8.963891
-1.5705963 , -3.715801 , 8.963891
-2.0685902 , -3.4859576 , 9.270349
-2.0685902 , -3.371036 , 8.734048
-1.8770541 , -3.064578 , 8.197746
-2.1068976 , -2.873042 , 8.121132
-3.2561142 , -4.0222588 , 7.6614456
-3.2561142 , -4.1371803 , 8.082825
-3.1794999 , -4.0222588 , 8.42759
-2.719813 , -3.9073372 , 8.772355
-1.9919758 , -3.715801 , 10.534488
-2.030283 , -4.175488 , 10.802638
-1.8387469 , -4.098873 , 10.496181
-1.685518 , -4.175488 , 10.381259
-1.1492168 , -4.060566 , 9.002198
-1.0726024 , -3.7924154 , 8.925584
-1.532289 , -3.9073372 , 8.887277
-1.1875241 , -3.217807 , 8.236053
-0.38307226 , -2.681506 , 8.0445175
0.45968673 , -2.4899697 , 8.082825
1.3024458 , -2.4516625 , 8.159439
0.7661445 , -2.4899697 , 8.6574335
0.38307226 , -2.7581203 , 10.189722
0.076614454 , -3.2944214 , 12.028469
1.1875241 , -2.9879637 , 11.760319
-0.34476504 , -5.439626 , 4.9416323
1.5705963 , -6.167464 , 8.121132
2.336741 , -6.435614 , 8.504205
1.8770541 , -5.746084 , 8.00621
1.5705963 , -5.66947 , 8.121132
0.91937345 , -4.7884035 , 7.3166804
0.49799395 , -4.1371803 , 7.73806
-0.4213795 , -3.4859576 , 8.121132
-0.7278373 , -3.6008794 , 8.6574335
-1.4173675 , -3.6008794 , 8.695741
