MagZ,MagY,MagX,OrientZ,OrientX,OrientY,AccY,AccX,AccZ,GyroZ,GyroX,GyroY
-37.32,-20.08499925,-2.774999925,-0.44844355,173.568582,0.64005104,-0.1149216813,-0.038307227,9.8577263333,0.0006965739,0.0004157514,0.0051184502
-36.8159984,-20.376,-2.8559999,-0.465173238,173.53711,0.636240362,-0.1244984875,-0.0478840338,9.844957,-0.00083952,-0.001013173,0.0056471519
-36.8039994,-19.8119998,-2.304,-0.48355298,173.511046,0.62877684,-0.1149216813,-0.038307227,9.844957,0.0015967963,-0.0011917885,0.0049898469
-36.9839992,-20.0639992,-2.50799996,-0.4972099883,173.493981667,0.6181274433,-0.1021526047,-0.0510763027,9.844957,0.0037952988,0.000829119,0.0031649061
-37.1849995,-20.33999975,-2.759999925,-0.496263434,173.453198,0.602188638,-0.1276907567,-0.038307227,9.844957,0.0005133132,0.0013995603,0.0008906184
-37.4279996,-19.9319996,-3.18,-0.502242694,173.405732,0.592242702,-0.0861912605,-0.0287304203,9.844957,-0.0003740497,-0.0021113116,0.0020480465
-37.836,-19.6439998,-2.92799996,-0.51270133,173.344936,0.60061064,-0.1225831268,-0.0536301178,9.844957,-0.0019172883,-0.0026257244,0.002755364
-37.6199996,-19.7399996,-2.61599996,-0.523558666,173.305656,0.607219702,-0.11492168,-0.038307227,9.844957,-0.0001200583,-0.0019023314,0.0037874048
-37.6079996,-19.908,-2.83199998,-0.53802782,173.2693225,0.6057331725,-0.076614454,-0.038307227,9.844957,-0.0008241609,-0.0003751684,0.0019194433
-37.4399996,-20.28,-3.08399996,-0.54312966,173.217486,0.59491139,-0.1436521025,-0.0478840338,9.844957,0.001156941,0.0015446938,0.0005905435
-37.1519996,-20.412,-2.78399996,-0.535337488,173.168156,0.59841602,-0.1021526047,-0.038307227,9.844957,-0.0024960027,-0.0010181844,0.002433856
-36.9959992,-20.3159996,-2.74799996,-0.540367606,173.150312,0.60033679,-0.1053448743,-0.038307227,9.8258035,-0.0019172882,0.0010394669,0.003591285
-37.14,-20.148,-2.97599992,-0.53878584,173.118063333,0.5980254033,-0.114921681,-0.038307227,9.844957,-0.0023918953,-0.0001424579,0.0029176492
-36.983999,-20.0279994,-2.33999998,-0.5345002683,173.09088,0.6063529417,-0.076614454,-0.038307227,9.844957,-5.897183E-005,-0.0001308223,0.001221771
-36.2279992,-20.5319996,-1.91999998,-0.526650658,173.09142,0.61050313,-0.11492168,-0.0574608405,9.844957,-0.0011778201,-0.001082486,0.0014371754
-35.9549995,-20.75999975,-1.394999975,-0.528758336,173.122934,0.616481922,-0.095768067,-0.0478840338,9.83538025,-0.0021970009,0.0003321493,0.0017490329
-35.2079994,-20.3639998,-1.05599998,-0.519312348,173.173952,0.61615826,-0.1053448735,-0.0478840338,9.83538025,-0.0030329217,0.0005893557,7.71912894737E-005
-35.267999,-19.8599998,-1.13999996,-0.51283667,173.232626,0.61522463,-0.1276907567,-0.038307227,9.832188,-0.002022468,0.0002066081,0.0021991442
-36.1199996,-19.944,-1.90799994,-0.52271612,173.272426,0.617825062,-0.076614454,-0.038307227,9.844957,-0.0036116362,0.0002035461,0.0041281922
-36.5879994,-20.0999998,-2.51999998,-0.525086775,173.2781425,0.618982375,-0.1053448735,-0.038307227,9.83538025,-0.0028078661,-0.0012914662,0.0009010555
-36.9479992,-19.9559996,-2.85599996,-0.520765398,173.257334,0.60731189,-0.1276907567,-0.038307227,9.844957,-0.0027787774,0.0034645561,0.0008610583
-37.0559996,-20.1959998,-2.65199996,-0.520184496,173.217312,0.580898282,-0.095768067,-0.038307227,9.8258035,-0.0026042445,0.0017192267,0.0026645652
-36.828,-20.5679998,-2.43599994,-0.520276454,173.196326,0.576962312,-0.1276907567,-0.038307227,9.844957,-0.000718064,-0.0006966764,-0.0003086184
-36.2519996,-20.1599998,-1.848,-0.50995841,173.186495,0.5693428,-0.076614454,-0.038307227,9.844957,-0.0026856932,5.243741E-005,0.001832625
-36.2039992,-20.0159998,-2.00399992,-0.512915918,173.202992,0.558694926,-0.076614454,-0.038307227,9.844957,-0.0020626107,-8.6433325E-006,0.0006475436
-36.408,-20.2319998,-2.21999996,-0.510878488,173.199406,0.551111892,-0.11492168,-0.038307227,9.844957,0.0019568824,0.0002357117,0.0009163201
-36.1439996,-20.2079998,-2.08799984,-0.511943414,173.192114,0.53945156,-0.076614454,-0.038307227,9.8258035,0.0020694102,0.000734049,-0.0006269185
