MagZ,MagY,MagX,Light,OrientZ,OrientX,OrientY,AccY,AccX,AccZ,GyroZ,GyroX,GyroY
NO-DATA,NO-DATA,NO-DATA,NO-DATA,NO-DATA,NO-DATA,NO-DATA,NO-DATA,NO-DATA,NO-DATA,NO-DATA,NO-DATA,NO-DATA,
-33.6,-14.46,16.92,NO-DATA,NO-DATA,NO-DATA,NO-DATA,NO-DATA,NO-DATA,NO-DATA,NO-DATA,NO-DATA,NO-DATA,
-33.78,-15.12,15.24,NO-DATA,NO-DATA,NO-DATA,NO-DATA,NO-DATA,NO-DATA,NO-DATA,NO-DATA,NO-DATA,NO-DATA,
-33.18,-15.54,14.5199995,NO-DATA,NO-DATA,NO-DATA,NO-DATA,NO-DATA,NO-DATA,NO-DATA,NO-DATA,NO-DATA,NO-DATA,
-33.3,-15.54,15.299999,NO-DATA,NO-DATA,NO-DATA,NO-DATA,NO-DATA,NO-DATA,NO-DATA,NO-DATA,NO-DATA,NO-DATA,
-33.36,-16.08,14.34,NO-DATA,NO-DATA,NO-DATA,NO-DATA,NO-DATA,NO-DATA,NO-DATA,NO-DATA,NO-DATA,NO-DATA,
-33.6,-16.14,14.099999,NO-DATA,NO-DATA,NO-DATA,NO-DATA,NO-DATA,NO-DATA,NO-DATA,NO-DATA,NO-DATA,NO-DATA,
-33.66,-17.1,13.08,NO-DATA,NO-DATA,NO-DATA,NO-DATA,NO-DATA,NO-DATA,NO-DATA,NO-DATA,NO-DATA,NO-DATA,
-36.66,-17.52,10.32,NO-DATA,1.2693515,230.63908,-12.243593,2.1068976,0.15322891,9.615114,-0.384234235,-0.00244346105,-0.112399207,
-36.66,-17.52,10.32,NO-DATA,1.2975694,230.9922,-12.244576,2.1068976,0.15322891,9.615114,-0.3946189525,0.013744468375,-0.08277224,
-36.899998,-17.46,10.38,NO-DATA,1.2947837,231.45894,-12.261289,2.1068976,0.15322891,9.615114,-0.36936986,0.0370591576667,-0.0680096633333,
-36.84,-17.34,10.44,NO-DATA,1.2947837,231.45894,-12.261289,2.1068976,0.15322891,9.615114,-0.36936986,0.0370591576667,-0.0680096633333,
-36.84,-17.34,10.44,NO-DATA,1.2873949,231.90195,-12.306523,2.1452048,0.11492168,9.615114,-0.391361013333,0.0232128786667,-0.107919526667,
-36.84,-17.34,10.44,NO-DATA,1.3202848,232.38998,-12.334446,2.1452048,0.11492168,9.615114,-0.4245513525,0.02412917775,-0.1087340115,
-37.02,-17.46,10.32,NO-DATA,1.3202848,232.38998,-12.334446,2.1452048,0.11492168,9.615114,-0.42271876,0.040317107,-0.09407325,
-37.02,-17.46,10.32,NO-DATA,1.3291289,232.8859,-12.374277,2.1452048,0.076614454,9.385271,-0.40500365,0.0531452765,-0.133779485,
-37.02,-17.46,10.32,NO-DATA,1.3676316,233.24777,-12.419557,2.1452048,0.076614454,9.385271,-0.42149702,0.040927971,-0.1618792875,
-37.26,-17.16,10.44,NO-DATA,1.3676316,233.24777,-12.419557,2.1452048,0.076614454,9.385271,-0.43982297,0.02321288,-0.119729586,
-37.26,-17.16,10.44,NO-DATA,1.3676316,233.24777,-12.419557,1.9919758,-0.038307227,9.423578,-0.44348816,0.017104227,-0.0631227433333,
-37.26,-17.16,10.44,NO-DATA,1.4034373,234.2768,-12.480263,1.9919758,-0.038307227,9.423578,-0.4077525525,0.014049900625,-0.0876591635,
-37.559998,-16.98,10.62,NO-DATA,1.4034373,234.2768,-12.480263,1.9919758,-0.038307227,9.423578,-0.4077525525,0.014049900625,-0.0876591635,
-37.559998,-16.98,10.62,NO-DATA,1.401611,234.75842,-12.481936,2.183512,0.11492168,9.768343,-0.3885103,-0.0274889365,-0.1148426675,
-37.559998,-16.98,10.62,NO-DATA,1.4188142,235.23303,-12.444809,2.183512,0.11492168,9.768343,-0.39858957,-0.02015855225,-0.057726764,
-37.26,-16.859999,10.74,NO-DATA,1.4188142,235.23303,-12.444809,2.183512,0.11492168,9.768343,-0.39858957,-0.02015855225,-0.057726764,
-37.26,-16.859999,10.74,NO-DATA,1.3800468,235.5892,-12.436438,2.2218192,0.038307227,9.232041,-0.391768246667,0.0301360173333,-0.0871501083333,
-37.26,-16.859999,10.74,NO-DATA,1.374187,236.04796,-12.476272,2.2218192,0.038307227,9.232041,-0.39187006,0.0137444675,-0.13255776,
-37.26,-16.8,10.8,NO-DATA,1.374187,236.04796,-12.476272,2.2218192,0.038307227,9.232041,-0.42394048,-0.032986723,-0.103847094,
-37.26,-16.8,10.8,NO-DATA,1.374187,236.04796,-12.476272,2.2218192,0.15322891,9.615114,-0.467108286667,-0.0521271693333,-0.0798197283333,
-37.26,-16.8,10.8,NO-DATA,1.4034086,237.05954,-12.4428005,2.2218192,0.15322891,9.615114,-0.46273043,-0.0290161005,-0.06597344575,
-37.02,-16.32,10.8,NO-DATA,1.3737416,237.59131,-12.424038,2.2218192,0.15322891,9.615114,-0.4410447,0.01282817,-0.12217305,
-37.02,-16.32,10.8,NO-DATA,1.3737416,237.59131,-12.424038,2.2984335,0.11492168,9.461885,-0.4410447,0.01282817,-0.12217305,
-37.02,-16.32,10.8,NO-DATA,1.40405,237.99017,-12.441514,2.2984335,0.11492168,9.461885,-0.467922775,-0.030848695375,-0.1282817,
-36.78,-16.44,10.98,NO-DATA,1.40405,237.99017,-12.441514,2.2984335,0.11492168,9.461885,-0.467922775,-0.030848695375,-0.1282817,
-36.78,-16.44,10.98,NO-DATA,1.4222205,238.54669,-12.403828,2.0685902,0.11492168,9.5385,-0.500095,-0.122580294667,-0.0044796785,
-36.78,-16.44,10.98,NO-DATA,1.3136885,239.08505,-12.263136,2.0685902,0.11492168,9.5385,-0.484416145,-0.120951319,-0.01618792875,
-37.2,-15.839999,10.92,NO-DATA,1.3136885,239.08505,-12.263136,2.0685902,0.11492168,9.5385,-0.46670106,-0.07452556,-0.04642576,
-37.2,-15.839999,10.92,NO-DATA,1.3136885,239.08505,-12.263136,2.1452048,0.15322891,9.346964,-0.455705473333,-0.0346156956667,-0.0541633846667,
-37.2,-15.839999,10.92,NO-DATA,1.18002355,240.29815,-12.07923075,2.1452048,0.15322891,9.346964,-0.447764225,-0.015271631,-0.074830995,
-37.44,-15.299999,11.099999,NO-DATA,1.18002355,240.29815,-12.07923075,2.1452048,0.15322891,9.346964,-0.447764225,-0.015271631,-0.074830995,
-37.44,-15.299999,11.099999,NO-DATA,1.18002355,240.29815,-12.07923075,2.1068976,0.22984336,9.500193,-0.44593163,-0.0610865265,-0.099571035,
-37.44,-15.299999,11.099999,NO-DATA,1.1843013,241.01204,-12.016141,2.1068976,0.22984336,9.500193,-0.4269948025,-0.070860366,-0.1056796885,
-37.8,-15.24,11.28,NO-DATA,1.1843013,241.01204,-12.016141,2.1068976,0.22984336,9.500193,-0.4269948025,-0.070860366,-0.1056796885,
-37.8,-15.24,11.28,NO-DATA,1.217654,241.50693,-11.936137,2.2601264,0.49799395,9.959879,-0.468737266667,-0.0871501066667,-0.0415388349,
-37.8,-15.24,11.28,NO-DATA,1.1720017,242.03574,-11.839099,2.2601264,0.49799395,9.959879,-0.517402875,-0.135001215,0.07941248075,
-38.1,-14.46,11.28,NO-DATA,1.1720017,242.03574,-11.839099,2.2601264,0.49799395,9.959879,-0.5314528,-0.13805555,0.08674286,
-38.1,-14.46,11.28,NO-DATA,0.858376,243.02176,-11.583302,2.1068976,0.11492168,9.11712,-0.498873273333,-0.104661579667,0.0264708253333,
-38.1,-14.46,11.28,NO-DATA,0.8829052,243.54218,-11.533461,2.336741,0.34476504,9.346964,-0.426689365,-0.04276056775,-0.12308934575,
-38.1,-14.46,11.28,NO-DATA,0.8829052,243.54218,-11.533461,2.336741,0.34476504,9.346964,-0.410908693333,-0.0651589576667,-0.210137646667,
-37.8,-14.219999,11.88,NO-DATA,0.8829052,243.54218,-11.533461,2.336741,0.34476504,9.346964,-0.4166101,-0.111177474,-0.20647246,
-37.8,-14.219999,11.88,NO-DATA,0.8829052,243.54218,-11.533461,2.4516625,0.4213795,9.921572,-0.44511714,-0.15719599,-0.18651752,
-37.8,-14.219999,11.88,NO-DATA,1.2032053,244.60898,-11.307686,2.4516625,0.4213795,9.921572,-0.4804455175,-0.1997529325,-0.13194689125,
-37.92,-13.74,12.059999,NO-DATA,1.27369595,245.365385,-11.026074,2.4516625,0.4213795,9.921572,-0.420886145,-0.1490511175,-0.1001819,
-37.8,-13.38,12.059999,NO-DATA,1.27369595,245.365385,-11.026074,2.4516625,0.4213795,9.921572,-0.420886145,-0.1490511175,-0.1001819,
-37.8,-13.38,12.059999,NO-DATA,1.3786147,245.99924,-10.920418,2.3750482,0.49799395,9.998186,-0.34900767,-0.0191404448,-0.13276138,
-37.8,-13.38,12.059999,NO-DATA,1.4724115,246.44598,-10.965165,2.6431987,0.49799395,9.844957,-0.3521638175,0.0210748515,-0.12461651,
-37.8,-13.38,12.059999,NO-DATA,1.536332,246.92157,-11.031621,2.6431987,0.49799395,9.844957,-0.3857614025,0.0204639855,-0.10140362875,
-38.04,-13.139999,12.42,NO-DATA,1.536332,246.92157,-11.031621,2.6431987,0.49799395,9.844957,-0.42394048,0.0036651916,-0.09040806,
-38.04,-13.139999,12.42,NO-DATA,1.536332,246.92157,-11.031621,2.4133554,0.4213795,9.576807,-0.45081854,-0.02443461,-0.081855945,
-38.04,-13.139999,12.42,NO-DATA,1.56024855,247.685545,-11.0513725,2.183512,0.34476504,9.615114,-0.4670064825,-0.04459316275,-0.0800233485,
-38.04,-13.139999,12.42,NO-DATA,1.5576295,248.50331,-11.04521,2.183512,0.34476504,9.615114,-0.47311514,-0.005497786875,-0.0733038285,
-38.34,-12.179999,12.12,NO-DATA,1.5576295,248.50331,-11.04521,2.183512,0.34476504,9.615114,-0.47311514,-0.005497786875,-0.0733038285,
-38.34,-12.179999,12.12,NO-DATA,1.5580642,249.12032,-11.152076,2.1068976,0.34476504,9.155427,-0.48380528,0.09896017,-0.0993674133333,
-38.34,-12.179999,12.12,NO-DATA,1.6516045,249.74135,-11.351166,2.3750482,0.45968673,9.423578,-0.4703662375,0.15454891,-0.1646281825,
-38.46,-12.059999,12.0,NO-DATA,1.6902815,250.43538,-11.587225,2.6431987,0.45968673,9.232041,-0.563625026667,0.171042263333,-0.114435421667,
-38.46,-11.82,11.88,NO-DATA,1.7027376,251.08832,-11.751539,2.3750482,0.49799395,9.078813,-0.734870875,0.1142318,-0.156992365,
-38.46,-11.82,11.88,NO-DATA,1.8472002,252.15195,-11.9448185,2.1452048,0.61291564,9.040505,-0.7861835775,0.1304197275,-0.295353345,
-38.64,-11.4,11.58,NO-DATA,2.305346,252.966,-12.165805,2.3750482,0.5363012,9.5385,-0.44389542,0.15801048,-0.534303456667,
-38.64,-11.4,11.58,NO-DATA,3.0393038,253.48135,-12.264935,2.6048915,0.4213795,9.730036,-0.2070833175,0.04337143175,-0.6811147275,
-38.82,-11.28,11.46,NO-DATA,3.7073557,253.88013,-12.195164,2.183512,0.80445176,10.840945,-0.16126843,-0.113213689333,-0.516384766667,
-38.879997,-11.34,11.16,NO-DATA,3.8835626,254.07468,-11.997672,2.2601264,0.9576807,10.534488,-0.167784323333,-0.27814731,-0.0688241486667,
-38.879997,-11.219999,10.92,NO-DATA,3.8184881,254.2839,-11.633985,2.2601264,0.9959879,10.036493,-0.122783915,-0.29077186,0.070860365,
-38.879997,-11.219999,10.98,NO-DATA,3.8150384,254.40701,-11.458495,2.719813,0.91937345,9.040505,-0.0647517166667,-0.0753400486667,-0.0171042286667,
-38.76,-11.28,10.98,NO-DATA,3.921452,254.51239,-11.663431,3.2561142,0.8810662,8.887277,-0.0818559413333,0.25411994,-0.125838243333,
-38.879997,-11.099999,11.16,NO-DATA,4.198859,254.83185,-12.119366,3.3327289,0.8810662,9.500193,-0.272038656667,0.371406066667,-0.314391986667,
-38.879997,-10.92,11.099999,NO-DATA,4.4424024,255.27429,-12.329726,3.3327289,0.8810662,9.500193,-0.477696616667,0.0851138933333,-0.30217467,
-38.879997,-10.86,11.04,NO-DATA,4.4424024,255.27429,-12.329726,3.3327289,0.8810662,9.500193,-0.551611305,-0.0354301835,-0.0360410505,
-38.879997,-10.86,11.04,NO-DATA,4.430862,255.93521,-12.354562,2.528277,0.6895301,8.925584,-0.6585127,-0.02076942,0.18936823,
-39.059998,-10.86,10.8,NO-DATA,4.043296,256.74106,-12.452527,2.183512,0.4213795,8.42759,-0.715934063333,0.118100611667,0.141313496667,
-39.0,-10.559999,11.16,NO-DATA,3.8466215,257.6538,-12.755114,2.030283,0.22984336,8.695741,-0.68742702,0.226427386667,-0.139277278667,
