motionUserAccelerationX,motionUserAccelerationY,motionUserAccelerationZ
0.06135267 , -0.7774533 , 1.252998
0.09659939 , 0.1842475 , 1.259199
-0.04785667 , 0.7374092 , -0.08303336
0.2425164 , 0.3079437 , 0.2747887
0.09906471 , -0.1985058 , 0.2034402
-0.04704656 , -0.2117532 , 0.1823806
0.04238863 , 0.02827166 , 0.0008286304
0.07593049 , -0.1644081 , -0.1264959
0.02302395 , -0.1275812 , 0.0655701
-0.05228893 , -0.1156513 , 0.1215742
0.04071862 , 0.1940644 , -0.06831503
-0.1898068 , 0.3077768 , -0.4955207
0.1258589 , 0.3108097 , -0.2494476
0.4768811 , 0.3666603 , -0.01097135
-0.009468208 , 0.5438919 , -0.5397028
0.4059061 , 0.5450254 , -0.4993881
0.105446 , 0.4198395 , -0.6273418
-0.319646 , 0.3214061 , 0.1158778
-0.1373934 , 0.4256754 , 1.068742
-0.5377905 , 0.3055249 , 0.07298667
-0.4404378 , 0.3505737 , 0.1895235
0.2812883 , 0.2900595 , 0.5368283
0.2672341 , -0.06248701 , 0.3879136
0.1370724 , -0.006907951 , 0.6197964
0.1149161 , -0.3543952 , 0.8176814
0.08251905 , -0.4716301 , 0.9990271
0.005309188 , -0.6300495 , 1.005853
0.01950619 , -0.6690837 , 0.7515927
-0.523756 , 0.08055188 , -0.7735864
-0.7415013 , 1.053854 , -2.249863
0.08014487 , 1.948723 , -1.184233
-0.2618653 , -0.5342175 , 0.1815346
0.2121621 , 0.1086738 , 0.3191099
-0.1297268 , 0.3442661 , 0.7558899
-0.1192634 , -0.8308311 , 1.001498
0.2508282 , -0.4822132 , 1.487619
0.1233597 , 0.5073135 , 0.8032448
0.06901512 , 0.3468778 , 0.2018482
0.1258087 , -0.009454012 , 0.2911341
-0.06810599 , -0.2306553 , 0.2216856
0.09548275 , 0.02006731 , 0.004060444
0.06650461 , -0.0894058 , 0.0251356
0.07615847 , -0.1607943 , 0.005623663
0.006700335 , -0.05210091 , -0.299051
0.00801158 , -0.0275657 , 0.0196506
0.2271798 , 0.1538466 , 0.06365306
-0.2761383 , 0.1212345 , -0.5835777
0.1538572 , 0.3392659 , -0.141649
0.3985363 , 0.3820507 , -0.1742358
0.2729927 , 0.6142086 , -0.3535297
0.1433701 , 0.4091379 , -0.6441501
-0.01554928 , 0.2995498 , -0.5880459
-0.4339707 , 0.3554902 , 0.3911722
-0.4893674 , 0.5742794 , 0.5880194
-0.4953901 , 0.410833 , 0.1376154
