motionUserAccelerationX,motionUserAccelerationY,motionUserAccelerationZ
0.7504206 , -0.353733 , -0.6300498
0.4375106 , -0.77684 , -0.2103271
0.6390443 , -0.4265872 , -0.1502345
0.1669113 , 1.502433 , -0.1286491
-1.233778 , 1.430043 , -0.1643118
-1.340081 , 1.123984 , 0.1208167
-0.4332436 , 1.222955 , 0.149821
-0.2971533 , 1.184944 , 0.3327345
-0.2008138 , 0.5986741 , 0.3823113
0.3503599 , -0.9533055 , 0.8654723
0.7035164 , -1.848774 , 1.241563
0.8660372 , -1.128765 , 0.9520276
0.1404446 , -0.3553264 , -0.5037545
-0.1126083 , 0.6531183 , -1.664358
0.3029163 , -0.3890032 , -0.1061841
-0.1232686 , -0.9020086 , 1.808094
0.01614195 , -0.1922828 , 1.286889
-0.1047752 , -0.06793519 , 1.693273
-0.7047023 , 0.6662802 , 0.2439218
0.02116782 , 0.7834127 , 0.6603171
-0.04616132 , 1.556941 , 0.2306224
-0.3437975 , 1.118546 , -1.174483
-0.5017306 , 0.1790328 , -1.224299
0.8234414 , -0.1890417 , -1.052495
1.033093 , -0.0519092 , -1.422721
1.200792 , -0.0702389 , -0.7450587
0.02288599 , -0.9531012 , -0.2160088
0.1225579 , -0.5304215 , -0.1266595
-0.3285844 , 1.378556 , -0.1483499
-1.257268 , 1.150822 , -0.463954
-1.628906 , 1.475497 , 0.266565
-0.4808141 , 1.608393 , -0.08709487
-0.01234613 , 1.249998 , -0.1085432
0.06103612 , 0.06423613 , 0.7781466
0.3337839 , -0.6690344 , 1.104391
0.8097048 , -2.119606 , 1.527775
1.050236 , -1.21817 , 1.102156
-0.214204 , 0.02487153 , -1.266254
-0.4557706 , 0.5566877 , -2.396931
0.7166178 , -0.8658233 , 2.794772
-2.910829 , 0.5301664 , -1.685068
-0.9937611 , 1.328311 , 0.4341272
-0.8096876 , -0.08871864 , 0.4556328
-0.9645869 , 0.2728004 , 0.5321212
0.1600116 , 1.560952 , 0.9219266
0.1782278 , 2.279339 , -0.7113453
-0.7223156 , 0.3354526 , -1.18902
-0.3191586 , -0.07285022 , -0.9505212
1.013308 , -0.5431136 , -0.8738872
1.336315 , 0.2175104 , -1.183433
0.9165241 , -0.2842691 , -0.796203
0.1197264 , -0.7522917 , -0.5847646
0.425014 , -0.1444878 , -0.1060726
0.08106796 , 0.745528 , -0.3199632
-1.54933 , 1.361979 , -0.2643896
-1.93165 , 1.566094 , 0.0485544
-0.3950208 , 1.45438 , 0.04607425
0.3231577 , 1.224864 , -0.05999555
0.1611208 , -0.192108 , 0.9472948
0.271759 , -0.6978986 , 1.097495
0.8546406 , -2.311118 , 1.661267
0.6294621 , -0.6263369 , 0.3327437
0.3112509 , -0.5108622 , -0.05657765
-0.7182679 , 0.7578237 , -1.483315
-0.1478261 , -0.4830373 , 2.774569
-0.9383903 , -0.2384412 , 1.321194
0.3060803 , 0.1325672 , 2.025075
-0.548088 , 0.4393812 , 0.2522139
-0.2331266 , 0.838227 , 0.743299
0.1725005 , 1.032866 , 0.6084871
-0.06168184 , 1.582725 , -0.5124419
-0.5263104 , 0.4860696 , -1.096258
0.1042059 , -0.09981641 , -1.141244
0.9393414 , -0.6938407 , -0.8739709
1.028043 , 0.01182698 , -1.287073
0.6543067 , -0.5288056 , -0.643913
-0.1273978 , -0.9727687 , -0.5123022
0.01811136 , -0.548552 , -0.3989568
0.2831725 , 1.548195 , 0.1003951
-0.8303565 , 0.9945269 , -0.1344886
-1.59598 , 0.9005076 , 0.1651898
-0.1066045 , 1.61387 , -0.1528666
0.02071363 , 1.507269 , 0.2886724
-0.08500803 , 0.640709 , 0.1961242
0.6357682 , -1.700302 , 1.168177
0.8917444 , -2.009933 , 1.35998
0.9594604 , -1.611379 , 1.250773
-0.4085161 , 0.5466529 , -2.439585
0.3339416 , 0.1735171 , -0.6234969
0.477782 , -0.9661276 , 1.741127
-2.409111 , 1.047893 , -0.7310508
0.3528934 , -0.5259961 , 1.559036
-0.2482938 , 0.1853385 , 1.246472
-0.3881342 , 0.9101994 , 0.7008553
0.08923601 , 1.697429 , 0.3151214
0.1508469 , 1.924477 , -0.6260148
-0.9496595 , 0.361246 , -1.558915
0.3815107 , -0.2446292 , -0.9849439
0.9525341 , -0.6733809 , -0.853572
1.483967 , -0.00788598 , -0.9909761
0.2548535 , -0.747719 , -0.6708745
0.5963863 , -0.6339558 , -0.3973973
0.9380733 , -0.03625583 , -0.126205
0.1299367 , 1.336923 , -0.2776803
-1.385703 , 1.173934 , 0.06687405
-1.609649 , 1.242677 , 0.3149198
-0.04238669 , 1.598941 , 0.09135536
0.02532572 , 1.001932 , 0.1183944
0.2745492 , -0.6800162 , 0.9340887
0.2448478 , -1.90371 , 1.162375
0.5969306 , -2.045776 , 1.462384
0.2681171 , -0.7380186 , 0.02778026
-0.2397313 , 0.5802615 , -2.36947
0.2913026 , -0.4816075 , -0.14635
-1.805605 , 0.3116596 , -0.2617221
-0.1020202 , -0.1872106 , 1.126068
0.05937717 , -0.4642134 , 2.0408
-0.8075975 , 1.058042 , 0.3452046
-0.03414388 , 1.306629 , 0.5569735
-0.06645652 , 2.364048 , -0.7576827
-0.730085 , 0.4671802 , -1.91729
-0.002195034 , 0.1409765 , -1.338373
1.090142 , -0.4486269 , -0.9806792
1.209606 , 0.2590371 , -1.312878
0.4344787 , -0.6264341 , -0.8283771
-0.2996958 , -1.064261 , -0.5724283
0.238495 , -0.4124961 , -0.2353901
0.1663511 , 1.60287 , -0.1965027
-1.130673 , 1.27601 , -0.09587968
-0.453761 , 1.384931 , -0.2269184
0.4138856 , 1.511008 , -0.03623071
0.4216579 , 1.526417 , -0.007063428
0.3002672 , -0.5007468 , 0.9130348
0.8489316 , -1.923082 , 1.354243
